Therapy	Sample	Response	Cancer types	Datasets	Alias
BEC	PIM242	-0.058870000000000006	BRCA	Powell et al.	BEC
BEC	PIM014	0.033354	BRCA	Powell et al.	BEC
BEC	PIM137	0.081924	BRCA	Powell et al.	BEC
BEC	PIM254	0.027418	BRCA	Powell et al.	BEC
BEC	PIM040	0.030489	BRCA	Powell et al.	BEC
BEC	PIM053	0.027249000000000002	BRCA	Powell et al.	BEC
BEC	PIM091	0.013005000000000001	BRCA	Powell et al.	BEC
BEC	PIM262	-0.09639299999999999	BRCA	Powell et al.	BEC
BEC	PIM068	-0.026179	BRCA	Powell et al.	BEC
BEC	PIM163	0.06021900000000001	BRCA	Powell et al.	BEC
BEC	PIM010	0.042294	BRCA	Powell et al.	BEC
BEC	PIM025	-0.03243	BRCA	Powell et al.	BEC
BEC	PIM164	-0.0050404	BRCA	Powell et al.	BEC
TEMOZOLOMIDE	PIM242	-0.045183999999999995	BRCA	Powell et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	PIM014	-0.046988	BRCA	Powell et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	PIM137	0.0015948	BRCA	Powell et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	PIM254	-0.0105	BRCA	Powell et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	PIM040	-0.011792	BRCA	Powell et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	PIM053	-0.021491	BRCA	Powell et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	PIM091	-0.059234	BRCA	Powell et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	PIM262	-0.11339	BRCA	Powell et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	PIM068	-0.09988	BRCA	Powell et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	PIM163	-0.016788	BRCA	Powell et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	PIM010	-0.045058	BRCA	Powell et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	PIM025	-0.064161	BRCA	Powell et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	PIM164	-0.049793000000000004	BRCA	Powell et al.	TEMOZOLOMIDE
CHIR-99021	PIM242	-0.18414	BRCA	Powell et al.	CHIR-99021
CHIR-99021	PIM014	-0.014008000000000001	BRCA	Powell et al.	CHIR-99021
CHIR-99021	PIM137	-0.088321	BRCA	Powell et al.	CHIR-99021
CHIR-99021	PIM254	-0.14949	BRCA	Powell et al.	CHIR-99021
CHIR-99021	PIM040	-0.094621	BRCA	Powell et al.	CHIR-99021
CHIR-99021	PIM053	-0.17588	BRCA	Powell et al.	CHIR-99021
CHIR-99021	PIM091	-0.16962	BRCA	Powell et al.	CHIR-99021
CHIR-99021	PIM262	-0.157	BRCA	Powell et al.	CHIR-99021
CHIR-99021	PIM068	-0.090253	BRCA	Powell et al.	CHIR-99021
CHIR-99021	PIM163	-0.0057206	BRCA	Powell et al.	CHIR-99021
CHIR-99021	PIM010	-0.11682999999999999	BRCA	Powell et al.	CHIR-99021
CHIR-99021	PIM025	-0.11715999999999999	BRCA	Powell et al.	CHIR-99021
CHIR-99021	PIM164	-0.09525499999999999	BRCA	Powell et al.	CHIR-99021
LINIFANIB	PIM242	0.17620999999999998	BRCA	Powell et al.	LINIFANIB
LINIFANIB	PIM014	0.35561	BRCA	Powell et al.	LINIFANIB
LINIFANIB	PIM137	0.29773	BRCA	Powell et al.	LINIFANIB
LINIFANIB	PIM254	0.2297	BRCA	Powell et al.	LINIFANIB
LINIFANIB	PIM040	0.2029	BRCA	Powell et al.	LINIFANIB
LINIFANIB	PIM053	0.17196	BRCA	Powell et al.	LINIFANIB
LINIFANIB	PIM091	-0.0053977	BRCA	Powell et al.	LINIFANIB
LINIFANIB	PIM262	0.25894	BRCA	Powell et al.	LINIFANIB
LINIFANIB	PIM068	0.31993	BRCA	Powell et al.	LINIFANIB
LINIFANIB	PIM163	0.26106999999999997	BRCA	Powell et al.	LINIFANIB
LINIFANIB	PIM010	0.05975900000000001	BRCA	Powell et al.	LINIFANIB
LINIFANIB	PIM025	0.049776999999999995	BRCA	Powell et al.	LINIFANIB
LINIFANIB	PIM164	0.28584	BRCA	Powell et al.	LINIFANIB
IFOSFAMIDE	PIM242	-0.024587	BRCA	Powell et al.	IFOSFAMIDE
IFOSFAMIDE	PIM014	-0.042315	BRCA	Powell et al.	IFOSFAMIDE
IFOSFAMIDE	PIM137	0.010189	BRCA	Powell et al.	IFOSFAMIDE
IFOSFAMIDE	PIM254	-0.012415	BRCA	Powell et al.	IFOSFAMIDE
IFOSFAMIDE	PIM040	0.016436000000000003	BRCA	Powell et al.	IFOSFAMIDE
IFOSFAMIDE	PIM053	0.0013032999999999999	BRCA	Powell et al.	IFOSFAMIDE
IFOSFAMIDE	PIM091	-0.023728	BRCA	Powell et al.	IFOSFAMIDE
IFOSFAMIDE	PIM262	-0.06264199999999999	BRCA	Powell et al.	IFOSFAMIDE
IFOSFAMIDE	PIM068	-0.11915999999999999	BRCA	Powell et al.	IFOSFAMIDE
IFOSFAMIDE	PIM163	0.021644999999999998	BRCA	Powell et al.	IFOSFAMIDE
IFOSFAMIDE	PIM010	0.0056606	BRCA	Powell et al.	IFOSFAMIDE
IFOSFAMIDE	PIM025	-0.030854000000000003	BRCA	Powell et al.	IFOSFAMIDE
IFOSFAMIDE	PIM164	-0.06168	BRCA	Powell et al.	IFOSFAMIDE
DACARBAZINE	PIM242	-0.0307	BRCA	Powell et al.	DACARBAZINE
DACARBAZINE	PIM014	0.03576	BRCA	Powell et al.	DACARBAZINE
DACARBAZINE	PIM137	0.050212	BRCA	Powell et al.	DACARBAZINE
DACARBAZINE	PIM254	0.039927	BRCA	Powell et al.	DACARBAZINE
DACARBAZINE	PIM040	0.049063	BRCA	Powell et al.	DACARBAZINE
DACARBAZINE	PIM053	0.029560000000000003	BRCA	Powell et al.	DACARBAZINE
DACARBAZINE	PIM091	-0.01485	BRCA	Powell et al.	DACARBAZINE
DACARBAZINE	PIM262	-0.056454	BRCA	Powell et al.	DACARBAZINE
DACARBAZINE	PIM068	-0.029278	BRCA	Powell et al.	DACARBAZINE
DACARBAZINE	PIM163	0.023149	BRCA	Powell et al.	DACARBAZINE
DACARBAZINE	PIM010	-0.011728	BRCA	Powell et al.	DACARBAZINE
DACARBAZINE	PIM025	0.010906	BRCA	Powell et al.	DACARBAZINE
DACARBAZINE	PIM164	-0.0080399	BRCA	Powell et al.	DACARBAZINE
DEXAMETHASONE	PIM242	-0.065607	BRCA	Powell et al.	DEXAMETHASONE
DEXAMETHASONE	PIM014	0.0029474	BRCA	Powell et al.	DEXAMETHASONE
DEXAMETHASONE	PIM137	0.064648	BRCA	Powell et al.	DEXAMETHASONE
DEXAMETHASONE	PIM254	0.039333	BRCA	Powell et al.	DEXAMETHASONE
DEXAMETHASONE	PIM040	0.013099000000000001	BRCA	Powell et al.	DEXAMETHASONE
DEXAMETHASONE	PIM053	-0.010653	BRCA	Powell et al.	DEXAMETHASONE
DEXAMETHASONE	PIM091	0.0023063000000000003	BRCA	Powell et al.	DEXAMETHASONE
DEXAMETHASONE	PIM262	-0.099216	BRCA	Powell et al.	DEXAMETHASONE
DEXAMETHASONE	PIM068	-0.083004	BRCA	Powell et al.	DEXAMETHASONE
DEXAMETHASONE	PIM163	-0.0048917000000000006	BRCA	Powell et al.	DEXAMETHASONE
DEXAMETHASONE	PIM010	0.014212	BRCA	Powell et al.	DEXAMETHASONE
DEXAMETHASONE	PIM025	-0.014402000000000002	BRCA	Powell et al.	DEXAMETHASONE
DEXAMETHASONE	PIM164	0.016985	BRCA	Powell et al.	DEXAMETHASONE
